,dong,population,ratio,cluster
0,사직동,0.4099257057949479,0.0677804922644056,2
1,삼청동,0.0,0.0787869167752856,3
2,부암동,0.4412481426448736,0.0837382389677641,2
3,평창동,0.9315304606240712,0.0,4
4,무악동,0.3377711738484398,0.1250389083917694,2
5,교남동,0.4591381872213966,0.1549794193805806,2
6,가회동,0.0896879643387815,0.099300846375383,3
7,종로1.2.3.4가동,0.3292124814264486,1.0,0
8,종로5.6가동,0.1632689450222882,0.5166576362386217,1
9,이화동,0.3091827637444279,0.2994368082231058,3
10,창신1동,0.1815750371471025,0.80587414399504,0
11,창신2동,0.3919167904903416,0.4686418385004188,0
12,창신3동,0.2495096582466567,0.2896232654797074,3
13,숭인1동,0.2067756315007429,0.4842500549575544,1
14,숭인2동,0.4320356612184249,0.4018869536102465,0
15,청운효자동,0.5779494799405646,0.0805944788222912,2
16,혜화동,1.0,0.1030602383907824,4
