,dong,population,ratio,cluster
0,소공동,0.0678494833300838,0.0,2
1,회현동,0.2463118216676415,1.0,0
2,명동,0.1116526938324559,0.095991230849778,2
3,필동,0.1811269253265744,0.0493117861191571,2
4,장충동,0.2275297328914018,0.1059629806525083,2
5,광희동,0.2891401832715928,0.2119771147215311,2
6,을지로동,0.0,0.7130430325131893,0
7,신당5동,0.5784103463963086,0.3346648061200888,3
8,황학동,0.7515435107558328,0.2923758405339795,1
9,중림동,0.7041008643660233,0.456874505935895,1
10,신당동,0.4694872294794306,0.3327577551280804,3
11,다산동,0.8291414830701241,0.2188392076574665,1
12,약수동,1.0,0.4627923605571173,1
13,청구동,0.8002859556768701,0.4901311084646091,1
14,동화동,0.5758107493338532,0.0298795352257982,3
