,동,인구 수,인구수_scaled,수급인구비율_scaled
0,신사동,16914.0,0.2709694484856501,0.052488246795056065
1,신사동,25426.0,0.4961248512101575,0.03370546365390303
2,논현1동,23734.0,0.45136886655204345,0.14652099774711588
3,논현2동,21997.0,0.40542256315302216,0.09603811474270252
4,삼성1동,13600.0,0.18330908609972227,0.04627335292293652
5,삼성2동,30368.0,0.6268483004893534,0.06872412488971352
6,대치1동,24922.0,0.48279328131199584,0.0
7,대치2동,37752.0,0.8221663801084513,0.016617877870746506
8,대치4동,20744.0,0.3722787991006481,0.12081377132237184
9,역삼1동,36771.0,0.7962174315566725,0.10916174416902602
10,역삼2동,37291.0,0.8099722258960456,0.06254666617817004
11,도곡1동,22227.0,0.4115064144954371,0.02733613258718619
12,도곡2동,34042.0,0.7240312128025395,0.00627876950199073
13,개포1동,6670.0,0.0,0.104511195303292
14,개포2동,22297.0,0.4133580214257374,0.0323462106667603
15,개포4동,22765.0,0.42573733633117317,0.13394478506812474
16,일원본동,23945.0,0.45695013887051983,0.01857613042156675
17,일원1동,15827.0,0.24221663801084517,0.48145061756322616
18,일원2동,17709.0,0.2919984129083455,0.325674146600852
19,수서동,15299.0,0.2282502314508663,0.9999999999999998
20,세곡동,44475.0,1.0,0.228744366723896
21,압구정동,27440.0,0.5493982277476525,0.018688965407795084
22,청담동,27266.0,0.5447956619494776,0.034493190983933004
