,동,인구 수,인구수_scaled,수급인구비율_scaled
0,화양동,25541.0,0.5748755589302286,0.2821450308401665
1,군자동,21903.0,0.4214123006833713,0.5237127154784214
2,중곡1동,16190.0,0.18041845946173962,0.7690066500636892
3,중곡2동,22285.0,0.4375263646334261,0.5334193220463836
4,중곡3동,16902.0,0.21045304986079472,1.0
5,중곡4동,29815.0,0.7551674681515228,0.7023022691751657
6,능동,11913.0,0.0,0.3394965487390133
7,구의1동,22700.0,0.455032481228381,0.5612814615625228
8,구의2동,27444.0,0.65515059478613,0.543070404131013
9,구의3동,29588.0,0.74559183329115,0.1919417041948247
10,광장동,35619.0,1.0,0.0
11,자양1동,23710.0,0.497637728845018,0.7287692672311168
12,자양2동,26016.0,0.5949126803340925,0.38976615936290143
13,자양3동,28957.0,0.718974099384122,0.09246379979713595
14,자양4동,21526.0,0.4055091538007255,0.5805035699549566
