,동,인구 수,인구수_scaled,수급인구비율_scaled
0,용강동,22257.0,0.33781693939938867,0.18219751330910905
1,대흥동,15863.0,0.10785829886711024,0.3778931132776916
2,염리동,12864.0,0.0,0.3767034893457597
3,신수동,23606.0,0.386333393274591,0.11756527825387181
4,서교동,26981.0,0.5077144398489482,0.09487801579136901
5,합정동,18576.0,0.20543067793562314,0.4554747876471137
6,망원1동,21113.0,0.2966732602049991,0.49962205629648415
7,망원2동,19216.0,0.22844812084157523,0.39522164471953913
8,연남동,16682.0,0.13731343283582093,0.12435653623714044
9,성산1동,19679.0,0.24509980219385002,0.38119216621855334
10,성산2동,40669.0,1.0,1.0
11,상암동,31997.0,0.6881136486243482,0.4563029028770773
12,도화동,21998.0,0.32850206797338616,0.2706502579241269
13,서강동,25386.0,0.45035065635677035,0.0
14,공덕동,38750.0,0.9309836360366841,0.382632665481606
15,아현동,26221.0,0.4803812263981299,0.15871197043008112
