,동,인구 수,인구수_scaled,수급인구비율_scaled
0,녹번동,37815.0,0.5773511891821383,0.32273794547525225
1,불광1동,40022.0,0.6253315361537458,0.3451994419232062
2,불광2동,28740.0,0.380060002608809,0.9272277351431996
3,갈현1동,23396.0,0.2638810383060133,0.9999999999999999
4,갈현2동,29239.0,0.3909083003608852,0.4902903935290499
5,구산동,32997.0,0.47260750467411616,0.38524307329006413
6,대조동,27579.0,0.3548197747728161,0.5640246839608217
7,응암1동,31265.0,0.43495369363885383,0.19810042901942093
8,응암2동,27776.0,0.35910256967694243,0.234493261876646
9,응암3동,25553.0,0.3107743814948476,0.8796317898801279
10,신사1동,27776.0,0.35910256967694243,0.22435725734102896
11,신사2동,20945.0,0.2105961128744728,0.5883401074939391
12,증산동,15487.0,0.09193877994695418,0.32358381347493514
13,수색동,11258.0,0.0,0.4198860488089078
14,진관동,57256.0,0.9999999999999999,0.0
15,역촌동,46939.0,0.7757076394625854,0.43004604707028005
