,dong,cluster,ratio_after,latitude,longitude
0,가산동,1,0.148720999405116,37.476681,126.883767
1,독산1동,1,0.148720999405116,37.4623691,126.892658
2,독산2동,2,0.3478381856760235,37.4651685,126.9030564
3,독산3동,1,0.148720999405116,37.4761668,126.903441
4,독산4동,0,0.23638985414746,37.4691185,126.9037538
5,시흥1동,1,0.148720999405116,37.4532657,126.9004428
6,시흥2동,2,0.3478381856760235,37.4508924,126.9207169
7,시흥3동,0,0.23638985414746,37.4406062,126.9060428
8,시흥4동,2,0.3478381856760235,37.4599602,126.9086402
9,시흥5동,0,0.23638985414746,37.4475069,126.9075131
10,천연동,1,0.1530877805333578,37.567945,126.959437
11,홍제1동,2,0.2709855745345823,37.5872777,126.9428045
12,홍제2동,1,0.1530877805333578,37.5852149,126.9524684
13,홍제3동,1,0.1530877805333578,37.594172,126.9503187
14,홍은1동,2,0.2709855745345823,37.6001798,126.9441888
15,홍은2동,0,0.2181572259127153,37.5867952,126.9296996
16,남가좌1동,3,0.1810085798066828,37.5719661,126.9156044
17,남가좌2동,0,0.2181572259127153,37.5780507,126.9216587
18,북가좌1동,2,0.2709855745345823,37.5767241,126.9083043
19,북가좌2동,0,0.2181572259127153,37.5822541,126.9125076
20,충현동,2,0.2709855745345823,37.56483,126.954715
21,북아현동,1,0.1530877805333578,37.562431,126.954397
22,신촌동,2,0.2709855745345823,37.56555,126.941382
23,연희동,3,0.1810085798066828,37.571987,126.932812
24,용강동,2,0.2278181100209592,37.541502,126.940443
25,대흥동,1,0.1863741834481087,37.549807,126.943177
26,염리동,1,0.1863741834481087,37.549096,126.947307
27,신수동,0,0.1957062058437873,37.548524,126.936813
28,서교동,0,0.1957062058437873,37.553838,126.918765
29,합정동,1,0.1863741834481087,37.547027,126.909029
30,망원1동,1,0.1863741834481087,37.554355,126.9011981
31,망원2동,1,0.1863741834481087,37.559352,126.8993219
32,연남동,2,0.2278181100209592,37.563027,126.921519
33,성산1동,1,0.1863741834481087,37.562389,126.9118963
34,성산2동,3,0.2458875310433008,37.5685889,126.9007429
35,상암동,2,0.2278181100209592,37.570748,126.87984
36,도화동,2,0.2278181100209592,37.539758,126.950007
37,서강동,0,0.1957062058437873,37.54778,126.932218
38,공덕동,2,0.2278181100209592,37.548092,126.954994
39,아현동,0,0.1957062058437873,37.554474,126.956308
40,신도림동,2,0.1979198622477758,37.5106925,126.8817601
41,구로1동,1,0.2563412414606324,37.4921445,126.8745095
42,구로2동,0,0.197304037629826,37.4952967,126.8832757
43,구로3동,1,0.2563412414606324,37.4857987,126.8952011
44,구로4동,0,0.197304037629826,37.4923528,126.8909841
45,구로5동,2,0.1979198622477758,37.5026015,126.8876023
46,고척1동,0,0.197304037629826,37.5012798,126.8632123
47,고척2동,0,0.197304037629826,37.5063258,126.8544635
48,개봉1동,0,0.197304037629826,37.5003687,126.8481078
49,개봉2동,2,0.1979198622477758,37.4927477,126.8573247
50,개봉3동,0,0.197304037629826,37.4864186,126.8519624
51,오류1동,0,0.197304037629826,37.4972921,126.8405577
52,오류2동,0,0.197304037629826,37.4858223,126.8333278
