,dong,population,ratio,cluster
0,쌍문1동,0.4909090909090909,0.4385837928042475,2
1,쌍문2동,0.3226305609284332,0.4479317511819877,2
2,쌍문3동,0.1624758220502902,0.3879336898479567,2
3,쌍문4동,0.3156028368794326,0.0425507762178586,2
4,방학1동,0.9564152159896842,0.466147614737903,3
5,방학2동,0.391424887169568,1.0000000000000002,0
6,방학3동,0.87498388136686,0.0408982749953193,1
7,창1동,0.709090909090909,0.1298084994773232,1
8,창2동,1.0,0.2533226061056531,3
9,창3동,0.0,0.7476866703264302,0
10,창4동,0.8306898774983882,0.0,1
11,창5동,0.7031592520954224,0.105152565635929,1
12,도봉1동,0.4776273372018051,0.6239548659500029,2
13,도봉2동,0.8715667311411992,0.2564585155125051,3
