,dong,population,ratio,cluster
0,전농1동,0.6782977764423078,0.5336676597405441,2
1,전농2동,0.2548828125,0.2509615565096694,1
2,답십리1동,0.6328125000000001,0.0613909470336434,2
3,답십리2동,0.6318734975961539,0.3026521664542302,2
4,장안1동,1.0,0.2736441714447657,2
5,장안2동,0.7765925480769232,0.2036193109176572,2
6,회기동,0.0,0.0333604397491543,1
7,휘경1동,0.1013746995192308,0.0,1
8,휘경2동,0.4630784254807693,0.0241550417794688,1
9,이문1동,0.3208383413461538,0.1524705125556147,1
10,이문2동,0.3111478365384615,0.3550303238253839,1
11,청량리동,0.2918043870192308,1.0,0
12,용신동,0.7489107572115384,0.3985364505516864,2
13,제기동,0.5391376201923078,0.4785163067125466,2
