,dong,population,ratio,cluster
0,번1동,0.1860151534608962,0.1516157193731835,0
1,번2동,0.0,0.5295136635918319,2
2,번3동,0.0681263644535765,1.0,2
3,수유1동,0.3161679722614614,0.2520510253253817,0
4,수유2동,0.3243225889302683,0.1414163984493878,0
5,수유3동,0.4727751380505971,0.1975064211938396,0
6,삼양동,0.5263901374085014,0.2242653501525496,0
7,미아동,0.3967509952484911,0.1058090951102931,0
8,송중동,0.923975857197894,0.0391332535514153,1
9,송천동,0.7273019134454861,0.2451368452487378,1
10,삼각산동,1.0000000000000002,0.0,1
11,우이동,0.2909978168742777,0.0973548637569648,0
12,인수동,0.9632079106202645,0.1961973682361099,1
