,dong,population,ratio,cluster
0,상일동,0.7098442260653135,0.1991848238221651,0
1,명일1동,0.5603355791099859,0.2560568230326814,0
2,명일2동,0.3710466463545466,0.2006753712665532,2
3,고덕1동,0.5544565077457838,0.2320965031712371,0
4,고덕2동,0.4786079045616444,0.4603447285758737,0
5,암사1동,0.760974981762005,0.9489667921687392,1
6,암사2동,0.3271038063768613,0.1895565366939478,2
7,암사3동,0.3896064884349654,0.1376524907543139,2
8,천호1동,0.5896880230013304,0.9777702705105455,1
9,천호2동,0.7507402480367336,1.0,1
10,천호3동,0.5755267562116466,0.909638339447436,1
11,성내1동,0.4310818349568725,0.2579780058291961,2
12,성내2동,0.5296742908638373,0.6259919678124642,0
13,성내3동,0.5027249710337726,0.5048016218749574,0
14,둔촌1동,0.0,0.0,2
15,둔촌2동,0.5611080118439686,0.3330148438035269,0
16,길동,1.0,0.5477026720819504,3
17,강일동,0.7620478050036477,0.843531841931105,1
