,dong,population,ratio,cluster
0,남현동,0.140050451149704,0.0,1
1,보라매동,0.4641020665567091,0.5053766470812995,1
2,청림동,0.0,0.4390800133207076,2
3,행운동,0.6834190356068691,0.3785216180348127,3
4,낙성대동,0.090618026583875,0.1231418302704157,1
5,중앙동,0.0022800038808576,0.3588485328116766,2
6,인헌동,0.5233821674590086,0.2251939731094855,1
7,서원동,0.3810032017075774,0.3155915836931459,1
8,신원동,0.1736198699912681,0.642033291688719,2
9,서림동,0.421994760842146,0.4618304722360838,1
10,신사동,0.0583583972057825,0.8648951354413879,2
11,신림동,0.3374405743669352,0.2602106609437556,1
12,난향동,0.0098961870573396,0.4231294305834635,2
13,조원동,0.170806248180848,0.4165314038765917,2
14,대학동,0.4461045891141942,0.4798633994373659,1
15,은천동,0.91607645289609,0.5869469805077803,3
16,성현동,0.7160667507519162,0.6532978047954747,0
17,청룡동,1.0,0.218209437170269,3
18,난곡동,0.5987678276899194,0.9017270649816332,0
19,삼성동,0.3989521684292229,1.0,0
20,미성동,0.7798583486950615,0.3282421532933295,3
