,dong,population,ratio,cluster
0,월계1동,0.2399577632099959,0.2023331150855156,0
1,월계2동,0.4392626160411809,0.8686833937338596,1
2,월계3동,0.5789519996480267,0.4191475096227026,2
3,공릉1동,0.9104228078666022,0.4378920789274617,2
4,공릉2동,1.0,0.077523888544959,2
5,하계1동,0.4546614457301244,0.7639550812602066,1
6,하계2동,0.2240309736460028,0.3307504838323496,0
7,중계본동,0.3216595538739056,0.0521439578453756,0
8,중계1동,0.4366668133221875,0.1064132842058918,0
9,중계4동,0.1373135641691231,0.6511265286776732,1
10,상계1동,0.9491398653702318,0.2634590480231248,2
11,상계2동,0.1346737647938756,0.2658452620245572,0
12,상계5동,0.3152800387170574,0.4453506239660385,0
13,상계8동,0.2345901711469927,0.0,0
14,상계9동,0.1579479959523075,0.0741828559259635,0
15,상계10동,0.0,0.0722234539172197,0
16,중계2.3동,0.7899599630428088,1.0,1
17,상계3.4동,0.4203000571956531,0.6550653268559763,1
18,상계6.7동,0.7044304632847903,0.1301342420014884,2
