,dong,population,ratio,cluster
0,서초1동,0.2795221739262592,0.3151159299226261,0
1,서초2동,0.2960576309310313,0.1006079881869908,1
2,서초3동,0.6175263685826317,0.2260277468845654,2
3,서초4동,0.5996230888476853,0.0295140368975066,2
4,잠원동,0.5027812395513541,0.1766892310247289,2
5,반포본동,0.0,0.0640798432202722,1
6,반포1동,0.6273442961792152,0.2354000459585565,2
7,반포2동,0.1291528617891121,0.0,1
8,반포3동,0.3167573482476671,0.0246449557820795,1
9,반포4동,0.2427429405149093,0.0909451355452009,1
10,방배본동,0.2827441563573361,0.3115270293757146,0
11,방배1동,0.1638347670141949,0.3465825588715841,0
12,방배2동,0.2557220584212286,0.4270284076312196,0
13,방배3동,0.2872427733365755,0.2481362707275358,0
14,방배4동,0.3661205507766193,0.2259260388981784,0
15,양재1동,1.0,1.0,3
16,양재2동,0.3257849782668166,0.5563583573745621,0
17,내곡동,0.1870877534271559,0.8390150093189239,4
