,dong,population,ratio,cluster
0,풍납1동,0.1572988409205442,0.4655211438592351,2
1,풍납2동,0.530824794221401,0.2716033648754247,2
2,거여1동,0.1066353099277674,0.5944095409304108,2
3,거여2동,0.3167142617167814,0.5219522715616848,2
4,마천1동,0.3361666386695783,1.0000000000000002,0
5,마천2동,0.3297833025365361,0.925693937879868,0
6,방이1동,0.2148496556358138,0.2505141366252539,1
7,방이2동,0.5634805980178061,0.3599061993299595,2
8,오륜동,0.2886611792373593,0.0,0
9,오금동,1.0,0.4885707087908355,3
10,송파1동,0.5135897866621872,0.2685701076861099,2
11,송파2동,0.3661011254829497,0.20629839044313,1
12,석촌동,0.7815555182261045,0.37836943795265,3
13,삼전동,0.7369729548126995,0.4192886652200443,3
14,가락본동,0.5867629766504283,0.2890950292769201,2
15,가락1동,0.6038300016798253,0.0371072570633582,3
16,가락2동,0.7828321854527129,0.2087389743815646,3
17,문정1동,0.3683856878884596,0.2304100523367114,1
18,문정2동,0.6599697631446331,0.0327813995438145,3
19,장지동,0.6876196875524945,0.5840353670962803,3
20,잠실본동,0.6447169494372584,0.371562719274319,2
21,잠실2동,0.8840248614144128,0.0008943130386193,3
22,잠실3동,0.8598689736267429,0.0083755715667953,3
23,잠실4동,0.3996304384344029,0.0052594044947141,0
24,잠실6동,0.2507307240047035,0.0214162660705911,0
25,잠실7동,0.0,0.0033653400522236,1
26,위례동,0.6874853015286411,0.2213597733947075,2
