,dong,population,ratio,cluster
0,여의동,0.8609445424260238,0.0,2
1,당산1동,0.3410150891632373,0.3776827876804172,3
2,당산2동,1.0,0.0474937506080467,2
3,양평1동,0.2040368410738781,0.2284120012932878,3
4,양평2동,0.3961199294532628,0.1271559808417496,3
5,신길1동,0.2614540466392319,0.7076213737159723,0
6,신길3동,0.2190868116794042,0.760767103041791,0
7,신길4동,0.0187340779933372,0.9160690229240536,0
8,신길5동,0.0,0.7364053614234165,0
9,신길6동,0.2576915539878502,0.3788232146386985,3
10,신길7동,0.3134626690182246,0.1250978855106436,3
11,대림1동,0.2059572800313541,0.4924954021071057,3
12,대림2동,0.2853223593964334,0.3902787088797652,3
13,대림3동,0.5673917303546934,0.5366473772857657,1
14,영등포본동,0.4426415833823242,0.6512625811019332,1
15,영등포동,0.6369978444052518,1.0,1
16,도림동,0.320164609053498,0.5575438190303269,0
17,문래동,0.8192435822065451,0.0759560324341945,2
